Epochs,Loss
1,1.7237
2,1.4544
3,1.0169
4,0.9819
5,0.9981
6,1.0352
7,0.6933
8,0.7979
9,0.6716
10,1.0362
11,0.6605
12,0.5631
13,0.6906
14,0.5696
15,0.9849
16,0.7453
17,0.4761
18,0.3004
19,0.3075
20,0.2223
21,0.3237
22,0.2223
23,0.1938
24,0.3455
25,0.2549
26,0.1464
27,0.2302
28,0.1034
29,0.1994
30,0.2215
31,0.1219
32,0.163
33,0.1517
34,0.2362
35,0.1962
36,0.2335
37,0.171
38,0.1942
39,0.1218
40,0.1107
41,0.1686
42,0.1594
43,0.0925
44,0.1261
45,0.1537
46,0.1518
47,0.2346
48,0.0778
49,0.0857
50,0.1752
51,0.1121
52,0.089
53,0.166
54,0.1262
55,0.1061
56,0.0452
57,0.1451
58,0.0465
59,0.0432
60,0.0788
61,0.1471
62,0.0484
63,0.0605
64,0.1052
65,0.1152
66,0.1031
67,0.0535
68,0.0328
69,0.0491
70,0.0298
71,0.1242
72,0.0606
73,0.0414
74,0.0719
75,0.0781
76,0.0589
77,0.0449
78,0.0702
79,0.0561
80,0.0452
81,0.2013
82,0.0499
83,0.0255
84,0.0546
85,0.0483
86,0.0331
87,0.022
88,0.0615
89,0.0753
90,0.0457
91,0.0409
92,0.0433
93,0.066
94,0.1049
95,0.0181
96,0.0736
97,0.0908
98,0.0247
99,0.0382
100,0.049
