Epochs,Loss
1,1.7756
2,1.271
3,1.333
4,1.2027
5,1.1565
6,0.9256
7,0.8006
8,1.0898
9,0.8784
10,0.9968
11,0.9147
12,0.8244
13,0.672
14,0.7619
15,0.7518
16,1.0355
17,0.812
18,0.7451
19,0.5077
20,0.5725
21,0.8368
22,0.6046
23,0.7185
24,0.649
25,0.4665
26,0.8057
27,0.7867
28,0.6627
29,0.727
30,0.7868
31,0.6115
32,0.5903
33,0.4682
34,0.4651
35,0.5664
36,0.6211
37,0.6639
38,0.5949
39,0.5157
40,0.4984
41,0.5877
42,0.5498
43,0.5695
44,0.8339
45,0.4765
46,0.73
47,0.5634
48,0.4892
49,0.6642
50,0.7969
51,0.5099
52,0.7398
53,0.3917
54,0.5038
55,0.5477
56,0.7813
57,0.6623
58,0.6769
59,0.6868
60,0.5043
61,0.4198
62,0.4717
63,0.3985
64,0.2889
65,0.5106
66,0.3553
67,0.2868
68,0.5403
69,0.4029
70,0.3077
71,0.3458
72,0.3853
73,0.4781
74,0.4029
75,0.2462
76,0.1338
77,0.3437
78,0.4152
79,0.3154
80,0.4139
81,0.3442
82,0.3756
83,0.2479
84,0.2883
85,0.234
86,0.5187
87,0.1928
88,0.5591
89,0.5762
90,0.4135
91,0.4306
92,0.4214
93,0.2696
94,0.1698
95,0.204
96,0.4475
97,0.3955
98,0.2043
99,0.4435
100,0.44
