Epochs,Loss
1,2.0173
2,1.7016
3,1.3373
4,1.0839
5,1.0136
6,0.7465
7,0.4471
8,0.6645
9,0.4204
10,0.3427
11,0.574
12,0.5734
13,0.3815
14,0.2782
15,0.3187
16,0.2845
17,0.3607
18,0.437
19,0.4715
20,0.2861
21,0.3336
22,0.3241
23,0.3855
24,0.3323
25,0.3582
26,0.4297
27,0.1569
28,0.2154
29,0.1441
30,0.2005
31,0.3133
32,0.3174
33,0.1463
34,0.2842
35,0.131
36,0.1363
37,0.1002
38,0.1556
39,0.286
40,0.1027
41,0.1118
42,0.1776
43,0.1574
44,0.1907
45,0.149
46,0.0448
47,0.1587
48,0.0907
49,0.1172
50,0.0948
51,0.279
52,0.0767
53,0.087
54,0.2096
55,0.0965
56,0.069
57,0.1423
58,0.1036
59,0.1909
60,0.0672
61,0.1048
62,0.3038
63,0.0789
64,0.0835
65,0.0967
66,0.1457
67,0.2189
68,0.1517
69,0.033
70,0.2069
71,0.0707
72,0.0615
73,0.1339
74,0.0541
75,0.0852
76,0.1121
77,0.0963
78,0.1265
79,0.1426
80,0.0558
81,0.0809
82,0.1499
83,0.0681
84,0.0337
85,0.0771
86,0.1437
87,0.0729
88,0.0291
89,0.0995
90,0.0318
91,0.0705
92,0.1397
93,0.0773
94,0.018
95,0.0925
96,0.0917
97,0.0844
98,0.0498
99,0.0502
100,0.1076
