Epochs,Loss
1,1.4288
2,1.4054
3,1.3814
4,1.0546
5,1.4193
6,0.776
7,0.8324
8,0.6654
9,1.0739
10,0.733
11,1.042
12,0.7016
13,0.9076
14,0.9456
15,0.9725
16,0.7667
17,0.5475
18,0.4788
19,0.5598
20,0.8306
21,0.5292
22,0.7972
23,0.5819
24,0.5679
25,0.7973
26,0.6564
27,0.8522
28,0.6635
29,0.5553
30,0.5872
31,0.8328
32,0.5727
33,0.6182
34,0.7154
35,0.6608
36,0.8446
37,0.8473
38,0.8101
39,0.6086
40,0.8978
41,0.6716
42,0.3962
43,0.5597
44,0.6933
45,0.5713
46,0.7941
47,0.4847
48,0.4906
49,0.4316
50,0.5503
51,0.4787
52,0.5937
53,0.6621
54,0.5883
55,0.8115
56,0.4817
57,0.638
58,0.5644
59,0.491
60,0.7475
61,0.4868
62,0.7135
63,0.4956
64,0.5213
65,0.4883
66,0.7049
67,0.3167
68,0.5431
69,0.6462
70,0.6074
71,0.602
72,0.4898
73,0.4869
74,0.4813
75,0.6737
76,0.6869
77,0.3771
78,0.7111
79,0.5746
80,0.4223
81,0.4102
82,0.5466
83,0.5548
84,0.5235
85,0.523
86,0.6038
87,0.5606
88,0.4176
89,0.5773
90,0.449
91,0.7982
92,0.3469
93,0.5193
94,0.7043
95,0.7006
96,0.3766
97,0.5273
98,0.4882
99,0.377
100,0.4897
