Epochs,Loss
1,0.7096
2,0.3052
3,0.4365
4,0.4157
5,0.3347
6,0.1297
7,0.2556
8,0.1503
9,0.0823
10,0.1394
11,0.1352
12,0.0265
13,0.0262
14,0.0866
15,0.0911
16,0.0236
17,0.0161
18,0.0193
19,0.0103
20,0.0191
21,0.0229
22,0.0153
23,0.0192
24,0.0742
25,0.0141
26,0.0197
27,0.0615
28,0.0113
29,0.0057
30,0.0099
31,0.0072
32,0.0091
33,0.0106
34,0.0089
35,0.005
36,0.004
37,0.0082
38,0.009
39,0.0043
40,0.0046
41,0.0038
42,0.0052
43,0.0027
44,0.0039
45,0.0031
46,0.0045
47,0.0041
48,0.0048
49,0.0019
50,0.0056
