Epochs,Loss
1,3.1096
2,2.5672
3,2.1409
4,1.6661
5,1.8405
6,1.303
7,1.1639
8,1.0199
9,1.0373
10,1.076
11,0.8801
12,0.9929
13,0.8414
14,0.7064
15,0.8838
16,0.6699
17,0.5656
18,0.5295
19,0.9176
20,0.8091
21,0.6814
22,0.6734
23,0.4386
24,0.5383
25,0.6167
26,0.9801
27,0.4486
28,0.5167
29,0.565
30,0.7682
31,0.3169
32,0.8358
33,0.4996
34,0.6111
35,0.4902
36,0.5889
37,0.4231
38,0.5893
39,0.463
40,0.3363
41,0.4974
42,0.24
43,0.4566
44,0.5551
45,0.4503
46,0.4431
47,0.44
48,0.5644
49,0.5241
50,0.4592
51,0.5379
52,0.5018
53,0.4159
54,0.2381
55,0.4019
56,0.3574
57,0.2352
58,0.3089
59,0.4874
60,0.697
61,0.5132
62,0.3286
63,0.5157
64,0.8698
65,0.3216
66,0.5321
67,0.4724
68,0.441
69,0.1904
70,0.3548
71,0.3923
72,0.3178
73,0.3459
74,0.2697
75,0.473
76,0.2727
77,0.4181
78,0.3515
79,0.2049
80,0.5592
81,0.1885
82,0.416
83,0.4728
84,0.2358
85,0.3547
86,0.4246
87,0.4838
88,0.402
89,0.3996
90,0.3166
91,0.3774
92,0.2769
93,0.4003
94,0.3998
95,0.4507
96,0.3511
97,0.4645
98,0.3413
99,0.3982
100,0.3544
