Epochs,Loss
1,2.4982
2,2.2107
3,2.149
4,2.2308
5,2.0379
6,2.2438
7,2.0143
8,2.1987
9,1.7454
10,1.9615
11,1.9095
12,1.7658
13,1.7449
14,1.9249
15,1.791
16,1.8114
17,2.125
18,1.8224
19,1.832
20,1.8569
21,2.0009
22,1.8683
23,1.8403
24,2.0076
25,1.668
26,1.6442
27,1.538
28,1.5265
29,1.5104
30,1.6591
31,1.4677
32,1.3803
33,1.7055
34,1.7382
35,1.4496
36,1.9167
37,1.2099
38,1.2538
39,1.4399
40,1.6238
41,1.4906
42,1.4512
43,1.1712
44,1.3851
45,1.155
46,1.1629
47,1.42
48,1.1115
49,1.3068
50,1.1042
51,1.3435
52,1.0298
53,0.9496
54,1.172
55,1.2
56,1.2843
57,1.3269
58,1.0824
59,1.0492
60,1.2427
61,1.0507
62,0.8359
63,1.0975
64,0.8799
65,1.214
66,0.8913
67,1.1145
68,0.9941
69,1.2893
70,1.0462
71,1.0364
72,1.1771
73,1.0905
74,1.2081
75,1.1213
76,1.0439
77,0.7836
78,0.9608
79,0.9434
80,1.4517
81,0.8715
82,1.2109
83,1.1176
84,1.242
85,1.0383
86,1.1727
87,1.0334
88,1.0073
89,0.8823
90,0.9369
91,0.9515
92,0.9587
93,1.1832
94,0.9528
95,1.0897
96,1.2658
97,1.0005
98,0.7907
99,1.1471
100,0.8662
101,1.1615
102,0.8578
103,0.955
104,0.8917
105,0.8479
106,0.8287
107,1.0683
108,0.954
109,0.9026
110,0.9232
111,0.7866
112,0.7294
113,0.8298
114,0.9352
115,0.87
116,0.9143
117,1.1141
118,1.0337
119,0.9218
120,0.772
121,0.727
122,0.8063
123,0.9181
124,0.6282
125,0.3925
126,0.6386
127,0.5596
128,0.6824
129,0.4985
130,0.5789
131,0.5159
132,0.5809
133,0.4717
134,0.381
135,0.3785
136,0.48
137,0.5107
138,0.4534
139,0.3428
140,0.2465
141,0.3557
142,0.5496
143,0.2897
144,0.4292
145,0.3737
146,0.2736
147,0.3958
148,0.4313
149,0.6881
150,0.3187
151,0.4312
152,0.4306
153,0.3085
154,0.2742
155,0.1508
156,0.4196
157,0.5803
158,0.3042
159,0.3984
160,0.1815
161,0.3725
162,0.2274
163,0.2868
164,0.4296
165,0.5042
166,0.4698
167,0.2946
168,0.2621
169,0.2802
170,0.5941
171,0.2647
172,0.4197
173,0.4915
174,0.2548
175,0.2788
176,0.2968
177,0.1874
178,0.2223
179,0.3371
180,0.1457
181,0.2931
182,0.3386
183,0.3439
184,0.2726
185,0.256
186,0.2763
187,0.2513
188,0.2681
189,0.259
190,0.1994
191,0.3389
192,0.185
193,0.1496
194,0.3604
195,0.3542
196,0.0742
197,0.4216
198,0.212
199,0.2086
200,0.2699
