Epochs,Loss
1,1.5279
2,0.9336
3,0.8908
4,0.544
5,0.6251
6,0.5275
7,0.3856
8,0.3747
9,0.2496
10,0.4955
11,0.3775
12,0.5581
13,0.2503
14,0.3649
15,0.4736
16,0.1852
17,0.1458
18,0.3897
19,0.1884
20,0.3696
21,0.2726
22,0.2536
23,0.2858
24,0.4076
25,0.4092
26,0.3448
27,0.2555
28,0.2443
29,0.2477
30,0.1404
31,0.1947
32,0.1506
33,0.2085
34,0.1634
35,0.4281
36,0.1203
37,0.1839
38,0.2072
39,0.1987
40,0.1237
41,0.1495
42,0.2096
43,0.183
44,0.1647
45,0.1408
46,0.1999
47,0.1118
48,0.1931
49,0.1084
50,0.0833
51,0.25
52,0.1079
53,0.0545
54,0.1312
55,0.1169
56,0.1734
57,0.1461
58,0.0746
59,0.1258
60,0.0569
61,0.0864
62,0.0617
63,0.0907
64,0.0666
65,0.1251
66,0.1377
67,0.0639
68,0.069
69,0.0692
70,0.1191
71,0.0666
72,0.0889
73,0.098
74,0.1033
75,0.109
76,0.1649
77,0.061
78,0.045
79,0.0614
80,0.095
81,0.0736
82,0.0409
83,0.0643
84,0.0681
85,0.1715
86,0.0572
87,0.168
88,0.0717
89,0.069
90,0.0553
91,0.1002
92,0.1926
93,0.1028
94,0.2058
95,0.1084
96,0.034
97,0.0405
98,0.0514
99,0.1021
100,0.0317
