Epochs,Loss
1,2.1265
2,1.5995
3,1.7795
4,1.5482
5,1.437
6,1.3654
7,1.3756
8,1.0531
9,1.2419
10,1.0916
11,1.0406
12,1.0124
13,1.0028
14,1.2671
15,0.735
16,0.485
17,0.4706
18,0.3181
19,0.487
20,0.4735
21,0.5302
22,0.4509
23,0.2105
24,0.3048
25,0.211
26,0.3497
27,0.3395
28,0.2389
29,0.1071
30,0.0928
31,0.3028
32,0.2535
33,0.0456
34,0.0529
35,0.3624
36,0.0815
37,0.1335
38,0.073
39,0.1736
40,0.0784
41,0.1315
42,0.1547
43,0.0909
44,0.0709
45,0.0259
46,0.0686
47,0.1627
48,0.0779
49,0.1147
50,0.0836
51,0.0774
52,0.0828
53,0.0608
54,0.0606
55,0.0258
56,0.0689
57,0.044
58,0.0223
59,0.0898
60,0.0542
61,0.0708
62,0.0621
63,0.0789
64,0.1173
65,0.0906
66,0.0701
67,0.024
68,0.0225
69,0.0219
70,0.0934
71,0.0333
72,0.1116
73,0.0185
74,0.0503
75,0.0972
76,0.0255
77,0.0526
78,0.0547
79,0.0711
80,0.0203
81,0.0766
82,0.1053
83,0.0606
84,0.0624
85,0.055
86,0.0558
87,0.0525
88,0.0094
89,0.0105
90,0.0167
91,0.0233
92,0.0106
93,0.0537
94,0.0828
95,0.0882
96,0.0402
97,0.0535
98,0.0036
99,0.0157
100,0.0504
101,0.1687
102,0.0862
103,0.0474
104,0.0154
105,0.0099
106,0.0511
107,0.0095
108,0.0087
109,0.0861
110,0.0447
111,0.0161
112,0.0815
113,0.0841
114,0.0889
115,0.0464
116,0.0435
117,0.0606
118,0.0099
119,0.0072
120,0.0121
121,0.0463
122,0.0522
123,0.0068
124,0.006
125,0.0421
126,0.0075
127,0.0081
128,0.045
129,0.0036
130,0.0232
131,0.0789
132,0.0104
133,0.0114
134,0.0078
135,0.0062
136,0.0075
137,0.0518
138,0.045
139,0.0976
140,0.0061
141,0.0484
142,0.0498
143,0.0074
144,0.0124
145,0.0421
146,0.0075
147,0.0465
148,0.0452
149,0.0163
150,0.0432
151,0.0067
152,0.0061
153,0.0102
154,0.0039
155,0.0117
156,0.0033
157,0.0475
158,0.0417
159,0.0088
160,0.006
161,0.079
162,0.0083
163,0.0087
164,0.0428
165,0.0075
166,0.0047
167,0.0048
168,0.0061
169,0.0417
170,0.0439
171,0.0079
172,0.0043
173,0.0126
174,0.0405
175,0.0408
176,0.0027
177,0.0026
178,0.0433
179,0.0031
180,0.0056
181,0.0088
182,0.043
183,0.0042
184,0.0399
185,0.0093
186,0.0032
187,0.0043
188,0.0393
189,0.0401
190,0.0039
191,0.0048
192,0.0062
193,0.0839
194,0.0036
195,0.0434
196,0.0454
197,0.0416
198,0.0021
199,0.0407
200,0.0048
