Epochs,Loss
1,0.9411
2,0.8899
3,0.6169
4,0.4179
5,0.4099
6,0.5456
7,0.1644
8,0.2494
9,0.3508
10,0.2783
11,0.469
12,0.3656
13,0.2883
14,0.1596
15,0.2196
16,0.4847
17,0.3385
18,0.3065
19,0.2681
20,0.1732
21,0.2419
22,0.3689
23,0.206
24,0.1757
25,0.1352
26,0.2171
27,0.3479
28,0.1639
29,0.105
30,0.2666
31,0.176
32,0.1628
33,0.261
34,0.1631
35,0.1239
36,0.1933
37,0.0629
38,0.0781
39,0.1108
40,0.0908
41,0.0322
42,0.0863
43,0.0582
44,0.0975
45,0.1207
46,0.0787
47,0.0891
48,0.0904
49,0.0944
50,0.0321
51,0.1604
52,0.0994
53,0.0923
54,0.3242
55,0.0822
56,0.0283
57,0.1725
58,0.0627
59,0.0778
60,0.086
61,0.0837
62,0.0671
63,0.0402
64,0.1393
65,0.0741
66,0.1581
67,0.0831
68,0.0435
69,0.0744
70,0.0598
71,0.0253
72,0.0953
73,0.0251
74,0.067
75,0.1182
76,0.0642
77,0.1114
78,0.0255
79,0.0529
80,0.0744
81,0.071
82,0.0332
83,0.0682
84,0.0369
85,0.017
86,0.0354
87,0.0501
88,0.0932
89,0.0511
90,0.0298
91,0.0679
92,0.0565
93,0.0334
94,0.0304
95,0.0781
96,0.0308
97,0.0333
98,0.0108
99,0.009
100,0.0202
