Epochs,Loss
1,1.7095
2,1.5932
3,1.6389
4,1.5944
5,1.5912
6,1.5348
7,1.5698
8,1.5729
9,1.5939
10,1.5751
11,1.5519
12,1.5872
13,1.5736
14,1.5277
15,1.5407
16,1.5485
17,1.5536
18,1.5196
19,1.4925
20,1.5157
21,1.5224
22,1.5077
23,1.5179
24,1.5224
25,1.484
26,1.515
27,1.5982
28,1.5853
29,1.529
30,1.5627
31,1.5287
32,1.5503
33,1.4934
34,1.5375
35,1.5004
36,1.5697
37,1.5025
38,1.523
39,1.5111
40,1.5125
41,1.5485
42,1.5054
43,1.4987
44,1.5075
45,1.5224
46,1.5443
47,1.5252
48,1.4892
49,1.4834
50,1.5328
51,1.4739
52,1.5388
53,1.5432
54,1.4796
55,1.5692
56,1.5046
57,1.5319
58,1.4711
59,1.4902
60,1.5275
61,1.517
62,1.4963
63,1.5025
64,1.5071
65,1.4813
66,1.4755
67,1.5095
68,1.4993
69,1.5232
70,1.5173
71,1.5405
72,1.5052
73,1.4741
74,1.5323
75,1.5448
76,1.5019
77,1.4985
78,1.505
79,1.4998
80,1.5205
81,1.5213
82,1.5027
83,1.4962
84,1.4796
85,1.5248
86,1.4848
87,1.4975
88,1.4954
89,1.4977
90,1.5065
91,1.4911
92,1.4721
93,1.4665
94,1.4805
95,1.5215
96,1.4935
97,1.473
98,1.4905
99,1.4977
100,1.4732
