Epochs,Loss
1,0.5683
2,0.374
3,0.2413
4,0.0678
5,0.1452
6,0.1438
7,0.0091
8,0.0078
9,0.0019
10,0.0481
11,0.0022
12,0.0019
13,0.0014
14,0.0024
15,0.0018
16,0.0011
17,0.0008
18,0.0754
19,0.0009
20,0.0011
21,0.0009
22,0.0003
23,0.001
24,0.0007
25,0.0007
26,0.0004
27,0.0003
28,0.0006
29,0.0002
30,0.0003
31,0.0005
32,0.0007
33,0.0004
34,0.0003
35,0.0003
36,0.0005
37,0.0005
38,0.0002
39,0.0003
40,0.0002
41,0.0003
42,0.0003
43,0.0006
44,0.0365
45,0.0006
46,0.0002
47,0.0001
48,0.0001
49,0.0002
50,0.0003
51,0.0001
52,0.0001
53,0.0002
54,0.0001
55,0.0002
56,0.0378
57,0.0368
58,0.0004
59,0.0002
60,0.0001
61,0.0002
62,0.0003
63,0.0001
64,0.0002
65,0.0003
66,0.0002
67,0.0001
68,0.0002
69,0.0001
70,0.0001
71,0.0007
72,0.0003
73,0.0001
74,0.0001
75,0.0001
76,0.0002
77,0.0001
78,0.0001
79,0.0001
80,0.0002
81,0.0001
82,0.0
83,0.0001
84,0.0001
85,0.0002
86,0.0001
87,0.0002
88,0.0002
89,0.0001
90,0.0
91,0.0002
92,0.0001
93,0.0001
94,0.0001
95,0.0001
96,0.0001
97,0.0001
98,0.0001
99,0.0002
100,0.0001
