Epochs,Loss
1,0.522
2,0.5224
3,0.6551
4,0.9809
5,0.1752
6,0.2581
7,0.1847
8,0.6392
9,0.6898
10,0.7521
11,0.1804
12,0.3835
13,0.1804
14,0.1997
15,0.1521
16,0.5372
17,0.2025
18,0.3919
19,0.2381
20,0.2904
21,0.2838
22,0.8111
23,0.2233
24,0.3908
25,0.7009
26,0.5292
27,0.4339
28,0.3332
29,0.3146
30,0.4408
31,0.3449
32,0.2817
33,0.5147
34,8.2784
35,0.3915
36,1.7151
37,0.0
38,0.0633
39,0.0
40,0.0
41,0.0001
42,0.072
43,0.7611
44,0.0046
45,0.0762
46,0.0101
47,0.0
48,0.323
49,1.1778
50,0.5427
51,0.3498
52,0.1176
53,0.0
54,0.1599
55,0.9181
56,0.0008
57,0.0
58,1.8501
59,0.0
60,1.052
61,1.7294
62,0.2635
63,0.0
64,0.0018
65,2.3543
66,0.0002
67,0.0
68,0.2683
69,1.207
70,1.9177
71,0.3082
72,0.6184
73,1.9533
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.5425
83,0.0
84,0.0
85,0.1449
86,0.0007
87,0.0
88,0.0
89,0.0
90,6.6299
91,0.0
92,0.7229
93,4.5855
94,2.0379
95,0.5892
96,3.0424
97,2.0121
98,0.8956
99,0.3149
100,0.0
