Epochs,Loss
1,2.1618
2,1.8349
3,1.657
4,1.7303
5,1.6203
6,1.8703
7,1.6997
8,1.7597
9,1.9784
10,1.9048
11,1.8686
12,1.765
13,1.835
14,2.0296
15,1.7763
16,1.8732
17,1.734
18,1.8008
19,1.8682
20,1.9019
21,1.9388
22,1.8698
23,1.6884
24,1.831
25,1.7574
26,2.0114
27,1.9026
28,1.7576
29,1.6895
30,1.8657
31,1.575
32,1.8655
33,1.6476
34,1.8321
35,1.611
36,1.7921
37,1.6822
38,1.7921
39,1.8652
40,1.7188
41,1.9761
42,1.5358
43,1.7192
44,1.7915
45,1.7189
46,1.8295
47,1.682
48,1.6819
49,2.0108
50,1.9373
51,2.0117
52,1.7552
53,1.573
54,1.8648
55,1.8646
56,1.6819
57,1.902
58,1.6459
59,1.828
60,1.7914
61,1.8276
62,1.9738
63,1.7182
64,1.8277
65,1.8279
66,1.7546
67,1.791
68,1.8649
69,1.6823
70,1.6448
71,1.7181
72,1.7188
73,1.8275
74,1.8283
75,1.7553
76,1.9739
77,1.8279
78,1.7545
79,1.8642
80,1.6814
81,1.8282
82,1.9741
83,1.6816
84,1.7179
85,1.9007
86,2.1199
87,1.6819
88,1.6453
89,1.6084
90,1.6819
91,1.7181
92,1.7546
93,1.8644
94,1.8643
95,1.9737
96,1.9017
97,1.8275
98,1.9008
99,1.9006
100,1.8277
