Epochs,Loss
1,1.1275
2,0.576
3,0.6998
4,0.4372
5,0.4134
6,0.3074
7,0.356
8,0.1556
9,0.3376
10,0.3745
11,0.2845
12,0.4054
13,0.1697
14,0.2944
15,0.1674
16,0.4053
17,0.3153
18,0.2851
19,0.3427
20,0.2499
21,0.3567
22,0.3413
23,0.3015
24,0.4323
25,0.232
26,0.0965
27,0.0276
28,0.1064
29,0.0134
30,0.0218
31,0.0264
32,0.0149
33,0.0099
34,0.0062
35,0.0194
36,0.0087
37,0.0102
38,0.0076
39,0.0053
40,0.0087
41,0.0082
42,0.0062
43,0.0088
44,0.0106
45,0.0079
46,0.005
47,0.006
48,0.0056
49,0.0087
50,0.0044
51,0.0083
52,0.0069
53,0.0026
54,0.0019
55,0.0425
56,0.0037
57,0.0065
58,0.0056
59,0.0043
60,0.0066
61,0.0031
62,0.0041
63,0.0032
64,0.0031
65,0.0042
66,0.0057
67,0.0036
68,0.002
69,0.0011
70,0.0033
71,0.0034
72,0.0035
73,0.0019
74,0.0028
75,0.0022
76,0.0047
77,0.0038
78,0.003
79,0.0018
80,0.0029
81,0.0024
82,0.0012
83,0.0014
84,0.0409
85,0.0021
86,0.0013
87,0.0011
88,0.0024
89,0.0029
90,0.0019
91,0.0019
92,0.0031
93,0.0408
94,0.0035
95,0.0021
96,0.0013
97,0.0019
98,0.0018
99,0.0022
100,0.0016
