Epochs,Loss
1,1.7338
2,1.8467
3,1.5204
4,1.5863
5,1.2134
6,1.4309
7,0.8035
8,0.9547
9,1.0701
10,1.0723
11,0.9112
12,0.7951
13,0.6777
14,0.6929
15,0.6183
16,0.548
17,0.8698
18,0.736
19,0.6117
20,0.443
21,0.4887
22,0.3418
23,0.6743
24,0.5372
25,0.7673
26,0.3434
27,0.4205
28,0.2211
29,0.4908
30,0.6633
31,0.4913
32,0.7018
33,0.4305
34,0.319
35,0.468
36,0.4554
37,0.2245
38,0.4069
39,0.4537
40,0.2215
41,0.2005
42,0.2332
43,0.324
44,0.2306
45,0.3144
46,0.2937
47,0.3113
48,0.1884
49,0.1607
50,0.2046
51,0.1064
52,0.1419
53,0.1042
54,0.3155
55,0.1583
56,0.0669
57,0.0983
58,0.1271
59,0.2057
60,0.1679
61,0.1569
62,0.1301
63,0.2721
64,0.1309
65,0.199
66,0.1818
67,0.0919
68,0.045
69,0.1512
70,0.1108
71,0.1354
72,0.051
73,0.1202
74,0.0695
75,0.2936
76,0.0781
77,0.1746
78,0.0728
79,0.0416
80,0.0947
81,0.0944
82,0.0569
83,0.0643
84,0.0944
85,0.1579
86,0.1561
87,0.0388
88,0.0596
89,0.0747
90,0.1229
91,0.0422
92,0.163
93,0.044
94,0.0918
95,0.0475
96,0.0345
97,0.1083
98,0.1487
99,0.0372
100,0.0611
