Epochs,Loss
1,0.8738
2,0.7158
3,0.7756
4,0.5787
5,0.5896
6,0.638
7,0.4178
8,0.3338
9,0.4043
10,0.517
11,0.4438
12,0.369
13,0.4413
14,0.3298
15,0.768
16,0.4396
17,0.4043
18,0.4758
19,0.3661
20,0.5854
21,0.5496
22,0.4391
23,0.7316
24,0.3659
25,0.585
26,0.4395
27,0.2933
28,0.5854
29,0.4756
30,0.3295
31,0.6217
32,0.439
33,0.439
34,0.512
35,0.4388
36,0.5118
37,0.5485
38,0.3295
39,0.6214
40,0.5121
41,0.512
42,0.4388
43,0.4023
44,0.5849
45,0.4753
46,0.585
47,0.5118
48,0.4388
49,0.512
50,0.4386
51,0.4024
52,0.256
53,0.2925
54,0.4023
55,0.439
56,0.4022
57,0.5118
58,0.3656
59,0.4388
60,0.3291
61,0.4386
62,0.5118
63,0.183
64,0.4752
65,0.6946
66,0.4022
67,0.585
68,0.4752
69,0.7676
70,0.3656
71,0.4387
72,0.5484
73,0.7678
74,0.4022
75,0.2925
76,0.5118
77,0.4022
78,0.4753
79,0.3657
80,0.5483
81,0.4387
82,0.4753
83,0.5848
84,0.3291
85,0.4752
86,0.4753
87,0.658
88,0.3656
89,0.4387
90,0.6581
91,0.5118
92,0.5118
93,0.329
94,0.4387
95,0.329
96,0.3656
97,0.5483
98,0.4387
99,0.5117
100,0.6214
