Epochs,Loss
1,2.709
2,2.3831
3,2.1568
4,2.0582
5,2.0392
6,1.9647
7,1.8274
8,2.1158
9,1.8151
10,2.0822
11,1.8446
12,1.8554
13,1.9085
14,1.8977
15,1.6818
16,1.8265
17,1.9434
18,1.9512
19,1.7502
20,1.7313
21,1.9543
22,1.6164
23,1.5281
24,1.4523
25,1.4043
26,1.4863
27,1.6424
28,1.5676
29,1.4455
30,1.4999
31,1.492
32,1.2312
33,1.1767
34,1.2574
35,1.3528
36,1.1816
37,1.1738
38,0.9942
39,1.1979
40,1.1716
41,0.9881
42,1.2814
43,1.2066
44,0.9146
45,1.0985
46,1.0109
47,1.0798
48,0.6165
49,0.6471
50,0.9384
51,0.7147
52,0.765
53,0.7458
54,0.7375
55,0.4758
56,0.5338
57,0.6219
58,0.6807
59,0.692
60,0.754
61,0.5607
62,0.63
63,0.5985
64,0.5099
65,0.5194
66,0.4542
67,0.388
68,0.6253
69,0.5995
70,0.532
71,0.6225
72,0.4754
73,0.6096
74,0.3803
75,0.6628
76,0.5782
77,0.3705
78,0.4733
79,0.5961
80,0.4942
81,0.4029
82,0.4594
83,0.2681
84,0.4239
85,0.3113
86,0.324
87,0.4102
88,0.3687
89,0.5788
90,0.358
91,0.3362
92,0.285
93,0.2563
94,0.1704
95,0.4074
96,0.3611
97,0.3362
98,0.3566
99,0.5116
100,0.2893
