Epochs,Loss
1,2.2879
2,2.2989
3,2.293
4,2.304
5,2.294
6,2.3019
7,2.3077
8,2.3014
9,2.3052
10,2.2787
11,2.2919
12,2.2874
13,2.3013
14,2.3
15,2.3144
16,2.3029
17,2.2913
18,2.2945
19,2.31
20,2.3002
21,2.3064
22,2.3049
23,2.3013
24,2.298
25,2.2986
26,2.2932
27,2.3109
28,2.3077
29,2.3058
30,2.2942
31,2.3084
32,2.2903
33,2.3003
34,2.2997
35,2.3027
36,2.3035
37,2.3036
38,2.2947
39,2.3013
40,2.29
41,2.2975
42,2.3061
43,2.3101
44,2.3048
45,2.2975
46,2.3019
47,2.3046
48,2.31
49,2.2963
50,2.3194
51,2.308
52,2.3123
53,2.3034
54,2.2948
55,2.2967
56,2.3024
57,2.3074
58,2.303
59,2.2977
60,2.3011
61,2.301
62,2.306
63,2.2979
64,2.2921
65,2.2978
66,2.2989
67,2.3187
68,2.2944
69,2.3036
70,2.302
71,2.3026
72,2.2977
73,2.3025
74,2.2951
75,2.2976
76,2.3228
77,2.3064
78,2.3025
79,2.2846
80,2.3077
81,2.3109
82,2.2822
83,2.2978
84,2.2877
85,2.2959
86,2.3026
87,2.3015
88,2.298
89,2.3077
90,2.3126
91,2.3029
92,2.3029
93,2.2992
94,2.3133
95,2.3016
96,2.3036
97,2.3036
98,2.3049
99,2.3032
100,2.2919
