Epochs,Loss
1,3.2121
2,2.8989
3,2.3103
4,2.279
5,2.2005
6,1.9616
7,1.7827
8,1.7677
9,1.6712
10,1.8435
11,1.5642
12,1.6169
13,1.6439
14,1.5547
15,1.3611
16,1.3804
17,1.0463
18,1.371
19,1.2166
20,1.2242
21,1.1879
22,0.9623
23,1.0852
24,1.087
25,1.1172
26,0.907
27,0.9999
28,0.9017
29,0.8245
30,0.8492
31,1.1873
32,1.0868
33,0.7516
34,0.7612
35,0.6794
36,0.8614
37,0.7519
38,0.688
39,0.6925
40,0.7157
41,0.74
42,0.6426
43,0.7895
44,0.7211
45,0.6557
46,0.8312
47,0.6954
48,0.536
49,0.6186
50,0.5247
51,0.4324
52,0.643
53,0.7396
54,0.5753
55,0.5401
56,0.393
57,0.3519
58,0.6855
59,0.672
60,0.4523
61,0.4434
62,0.5878
63,0.611
64,0.4995
65,0.7232
66,0.5061
67,0.4982
68,0.4935
69,0.8367
70,0.4719
71,0.4704
72,0.4034
73,0.4192
74,0.4907
75,0.5714
76,0.8332
77,0.4434
78,0.573
79,0.6898
80,0.6189
81,0.4025
82,0.617
83,0.2359
84,0.3566
85,0.5723
86,0.5545
87,0.3944
88,0.4884
89,0.548
90,0.4778
91,0.4415
92,0.4029
93,0.611
94,0.3683
95,0.4848
96,0.2616
97,0.56
98,0.4113
99,0.5868
100,0.7023
