Epochs,Loss
1,0.9328
2,0.2249
3,0.337
4,0.014
5,0.0061
6,0.0305
7,0.0029
8,0.0053
9,0.0372
10,0.0391
11,0.001
12,0.0011
13,0.0383
14,0.0017
15,0.0444
16,0.0126
17,0.0004
18,0.0013
19,0.0368
20,0.0003
21,0.0003
22,0.0001
23,0.0002
24,0.0398
25,0.0005
26,0.0002
27,0.0011
28,0.2288
29,0.0026
30,0.0121
31,0.0004
32,0.0006
33,0.0002
34,0.0002
35,0.0001
36,0.0002
37,0.0
38,0.0
39,0.0001
40,0.0001
41,0.0001
42,0.0
43,0.0001
44,0.0
45,0.0
46,0.0
47,0.0001
48,0.0
49,0.0025
50,0.01
51,0.0044
52,0.0004
53,0.0003
54,0.0003
55,0.0002
56,0.0
57,0.0
58,0.0
59,0.0001
60,0.0002
61,0.0001
62,0.0001
63,0.0001
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
