Epochs,Loss
1,2.0946
2,2.0719
3,1.6983
4,1.8136
5,1.9612
6,1.9966
7,1.7641
8,1.901
9,1.9808
10,1.7179
11,1.8277
12,2.0834
13,1.645
14,1.7546
15,1.9375
16,1.9739
17,1.8646
18,2.0103
19,1.9375
20,1.7546
21,1.718
22,1.9741
23,1.9373
24,1.9018
25,1.791
26,1.7911
27,1.7183
28,2.0468
29,1.791
30,1.9006
31,1.7546
32,1.974
33,1.8275
34,1.9738
35,2.047
36,1.791
37,1.9738
38,1.9738
39,1.5716
40,2.0468
41,1.7544
42,1.8642
43,1.9372
44,1.9373
45,1.9006
46,1.7909
47,1.6083
48,1.791
49,1.6814
50,1.8641
51,1.791
52,1.8275
53,1.6813
54,1.718
55,1.864
56,1.9738
57,1.8275
58,1.6813
59,1.8275
60,1.9738
61,1.9372
62,1.9006
63,1.9006
64,1.9009
65,1.7544
66,1.8275
67,2.0102
68,1.864
69,1.791
70,1.8275
71,1.7545
72,1.6083
73,1.7178
74,1.7544
75,1.8641
76,1.9371
77,1.9737
78,1.7909
79,2.0102
80,1.8641
81,1.7544
82,1.5717
83,1.6813
84,2.0102
85,1.864
86,1.6082
87,1.9372
88,1.7545
89,1.5717
90,1.7909
91,1.9372
92,1.864
93,1.8275
94,1.7909
95,1.791
96,1.5351
97,1.9737
98,1.7179
99,2.0833
100,1.9006
