Epochs,Loss
1,0.8139
2,0.721
3,0.577
4,0.3817
5,0.5238
6,0.4883
7,0.5871
8,0.286
9,0.4388
10,0.2317
11,0.2844
12,0.1271
13,0.104
14,0.0258
15,0.0418
16,0.1118
17,0.0247
18,0.0268
19,0.0239
20,0.0298
21,0.0163
22,0.0293
23,0.0145
24,0.0088
25,0.0237
26,0.0128
27,0.0476
28,0.0291
29,0.0105
30,0.0355
31,0.0105
32,0.0081
33,0.0156
34,0.0108
35,0.0109
36,0.0039
37,0.0132
38,0.008
39,0.0143
40,0.007
41,0.01
42,0.0071
43,0.0046
44,0.0083
45,0.0049
46,0.0396
47,0.0048
48,0.0036
49,0.0057
50,0.0069
51,0.0077
52,0.0041
53,0.0106
54,0.0039
55,0.0121
56,0.0047
57,0.0036
58,0.0043
59,0.0037
60,0.0084
61,0.0047
62,0.0048
63,0.003
64,0.003
65,0.0035
66,0.0029
67,0.004
68,0.0024
69,0.0058
70,0.0027
71,0.0017
72,0.0027
73,0.0014
74,0.0025
75,0.0021
76,0.0032
77,0.003
78,0.0033
79,0.0042
80,0.0022
81,0.0036
82,0.0023
83,0.0048
84,0.0021
85,0.002
86,0.0019
87,0.0022
88,0.002
89,0.001
90,0.0016
91,0.0023
92,0.0029
93,0.0402
94,0.0021
95,0.002
96,0.0015
97,0.0021
98,0.0016
99,0.0022
100,0.0012
