Epochs,Loss
1,1.7917
2,1.5809
3,1.1724
4,0.8014
5,0.7086
6,0.3852
7,0.7084
8,0.6316
9,0.3601
10,0.2467
11,0.404
12,0.5539
13,0.3551
14,0.2622
15,0.3514
16,0.24
17,0.3752
18,0.2173
19,0.3633
20,0.1029
21,0.0874
22,0.0979
23,0.2698
24,0.3027
25,0.2155
26,0.2142
27,0.2631
28,0.1664
29,0.0529
30,0.1213
31,0.2097
32,0.0878
33,0.1054
34,0.0583
35,0.1438
36,0.0996
37,0.0797
38,0.1929
39,0.1884
40,0.0885
41,0.1556
42,0.0626
43,0.1099
44,0.1022
45,0.1451
46,0.2104
47,0.1576
48,0.0578
49,0.0506
50,0.1622
51,0.0807
52,0.0892
53,0.185
54,0.0461
55,0.1431
56,0.108
57,0.1213
58,0.1127
59,0.1333
60,0.0405
61,0.1418
62,0.0307
63,0.1549
64,0.0156
65,0.0914
66,0.1088
67,0.0759
68,0.0772
69,0.0933
70,0.0874
71,0.1035
72,0.0705
73,0.0824
74,0.0683
75,0.1025
76,0.112
77,0.0198
78,0.0593
79,0.0135
80,0.0617
81,0.0406
82,0.0581
83,0.0856
84,0.0689
85,0.128
86,0.0079
87,0.0409
88,0.013
89,0.0917
90,0.0054
91,0.0541
92,0.0458
93,0.0446
94,0.0198
95,0.0417
96,0.0621
97,0.0254
98,0.0829
99,0.0431
100,0.0136
101,0.0867
102,0.0986
103,0.1099
104,0.0169
105,0.0044
106,0.0736
107,0.0757
108,0.0481
109,0.0688
110,0.0958
111,0.0858
112,0.0409
113,0.084
114,0.0235
115,0.0112
116,0.0386
117,0.0079
118,0.0082
119,0.0705
120,0.0392
121,0.0415
122,0.0188
123,0.0385
124,0.0749
125,0.0431
126,0.0435
127,0.0506
128,0.0066
129,0.0353
130,0.0042
131,0.0043
132,0.009
133,0.0828
134,0.0357
135,0.0411
136,0.0151
137,0.0432
138,0.0412
139,0.0126
140,0.008
141,0.0381
142,0.0363
143,0.011
144,0.0556
145,0.0753
146,0.0096
147,0.0515
148,0.0066
149,0.0568
150,0.0641
151,0.0072
152,0.0542
153,0.0412
154,0.0473
155,0.0082
156,0.0119
157,0.0404
158,0.1196
159,0.0051
160,0.0083
161,0.0392
162,0.0066
163,0.0128
164,0.01
165,0.0125
166,0.0338
167,0.0026
168,0.0028
169,0.0417
170,0.0398
171,0.0105
172,0.0037
173,0.0072
174,0.0627
175,0.0024
176,0.0034
177,0.008
178,0.0104
179,0.0399
180,0.0073
181,0.0077
182,0.0054
183,0.0048
184,0.0063
185,0.0741
186,0.0381
187,0.0249
188,0.0057
189,0.0412
190,0.0059
191,0.0054
192,0.0024
193,0.007
194,0.0033
195,0.0038
196,0.0049
197,0.0336
198,0.0058
199,0.0062
200,0.0065
