Epochs,Loss
1,1.2219
2,0.8386
3,0.4092
4,0.5353
5,0.5661
6,0.207
7,0.3628
8,0.3914
9,0.3822
10,0.5539
11,0.2687
12,0.132
13,0.3618
14,0.2076
15,0.2779
16,0.2098
17,0.0918
18,0.206
19,0.2784
20,0.1164
21,0.2145
22,0.2097
23,0.3048
24,0.2131
25,0.2182
26,0.0793
27,0.2289
28,0.3222
29,0.1182
30,0.2852
31,0.3057
32,0.0567
33,0.1318
34,0.1215
35,0.1403
36,0.1871
37,0.1471
38,0.1696
39,0.0548
40,0.088
41,0.1219
42,0.0571
43,0.0506
44,0.0796
45,0.0933
46,0.318
47,0.0927
48,0.0915
49,0.1197
50,0.0633
51,0.0926
52,0.1151
53,0.059
54,0.0692
55,0.0381
56,0.0838
57,0.1512
58,0.0766
59,0.0471
60,0.0887
61,0.0665
62,0.0678
63,0.1101
64,0.0703
65,0.0583
66,0.0936
67,0.0651
68,0.0456
69,0.0511
70,0.032
71,0.0445
72,0.0517
73,0.0533
74,0.1026
75,0.029
76,0.0672
77,0.036
78,0.0996
79,0.0615
80,0.0768
81,0.0571
82,0.0585
83,0.0591
84,0.0339
85,0.0404
86,0.0506
87,0.0585
88,0.0291
89,0.105
90,0.0548
91,0.0296
92,0.048
93,0.046
94,0.0331
95,0.064
96,0.0776
97,0.036
98,0.0774
99,0.0529
100,0.0283
