Epochs,Loss
1,1.9953
2,1.912
3,1.9142
4,1.66
5,1.6366
6,1.5418
7,1.5499
8,1.3994
9,1.0768
10,0.838
11,0.7015
12,0.6798
13,0.4704
14,0.8125
15,0.5979
16,0.1347
17,0.5087
18,0.5213
19,0.6771
20,0.2522
21,0.2589
22,0.2481
23,0.2917
24,0.2401
25,0.217
26,0.3105
27,0.2035
28,0.3274
29,0.3747
30,0.0748
31,0.1699
32,0.148
33,0.1271
34,0.0746
35,0.1103
36,0.2757
37,0.076
38,0.1778
39,0.1122
40,0.2141
41,0.2384
42,0.0126
43,0.0261
44,0.1976
45,0.1885
46,0.0671
47,0.1093
48,0.0545
49,0.0688
50,0.0523
51,0.0657
52,0.0239
53,0.0483
54,0.0863
55,0.1244
56,0.1823
57,0.0742
58,0.181
59,0.116
60,0.1468
61,0.1404
62,0.091
63,0.0973
64,0.0751
65,0.1157
66,0.0521
67,0.0135
68,0.0497
69,0.0968
70,0.1011
71,0.0484
72,0.0136
73,0.0927
74,0.1162
75,0.0434
76,0.0157
77,0.0542
78,0.1129
79,0.0116
80,0.0569
81,0.0144
82,0.0249
83,0.1265
84,0.0107
85,0.017
86,0.0104
87,0.0098
88,0.0496
89,0.0228
90,0.0508
91,0.0916
92,0.0392
93,0.0519
94,0.0911
95,0.0468
96,0.007
97,0.0468
98,0.0086
99,0.0535
100,0.0915
101,0.0525
102,0.1653
103,0.0094
104,0.0425
105,0.0135
106,0.025
107,0.0537
108,0.01
109,0.0455
110,0.0528
111,0.0203
112,0.086
113,0.1187
114,0.0809
115,0.0805
116,0.1226
117,0.0812
118,0.0458
119,0.012
120,0.0441
121,0.0495
122,0.0479
123,0.006
124,0.0823
125,0.0768
126,0.22
127,0.0492
128,0.0494
129,0.1551
130,0.0496
131,0.0552
132,0.0072
133,0.0834
134,0.0806
135,0.041
136,0.0799
137,0.0052
138,0.0473
139,0.0741
140,0.0075
141,0.0042
142,0.009
143,0.0458
144,0.0405
145,0.0434
146,0.0051
147,0.0092
148,0.0075
149,0.0435
150,0.0427
151,0.0095
152,0.0434
153,0.0068
154,0.0055
155,0.0422
156,0.0423
157,0.0774
158,0.0096
159,0.0836
160,0.043
161,0.0777
162,0.009
163,0.0426
164,0.0027
165,0.0781
166,0.0776
167,0.0772
168,0.0391
169,0.0424
170,0.0425
171,0.075
172,0.041
173,0.006
174,0.0041
175,0.0454
176,0.0411
177,0.0028
178,0.0398
179,0.0062
180,0.0782
181,0.0045
182,0.0394
183,0.0379
184,0.0393
185,0.0055
186,0.0045
187,0.0028
188,0.004
189,0.0433
190,0.007
191,0.1144
192,0.1138
193,0.004
194,0.005
195,0.0412
196,0.0061
197,0.1135
198,0.0034
199,0.0125
200,0.0407
