Epochs,Loss
1,2.5127
2,2.3025
3,2.3142
4,2.1841
5,1.9968
6,2.1606
7,2.1422
8,2.1648
9,1.8259
10,1.8576
11,1.9249
12,1.9472
13,1.9396
14,1.9762
15,1.9626
16,1.7475
17,1.9193
18,2.0368
19,1.8491
20,1.674
21,1.7411
22,1.6419
23,1.6003
24,1.6789
25,1.6933
26,1.8194
27,1.7854
28,1.396
29,1.5407
30,1.6574
31,1.3648
32,1.7152
33,1.465
34,1.3511
35,1.4976
36,1.26
37,1.5269
38,1.4771
39,1.1315
40,1.3781
41,1.2671
42,1.1987
43,1.2387
44,1.2631
45,0.7859
46,1.1527
47,1.4212
48,0.9654
49,1.0862
50,1.1984
51,1.311
52,1.3737
53,1.0605
54,1.2334
55,1.2997
56,1.0422
57,1.2044
58,1.0818
59,0.8618
60,1.2009
61,0.7079
62,1.2772
63,1.0253
64,1.144
65,1.145
66,1.2596
67,1.2927
68,1.0588
69,1.3701
70,0.7943
71,1.0303
72,1.0743
73,1.1551
74,1.226
75,0.9264
76,1.1399
77,1.0701
78,0.8626
79,0.8598
80,0.9746
81,1.115
82,1.085
83,0.9613
84,0.9404
85,1.293
86,1.0321
87,1.3707
88,1.0214
89,0.8852
90,1.0356
91,0.8311
92,0.8988
93,0.8702
94,1.2135
95,1.173
96,1.2362
97,1.0808
98,1.2325
99,0.8612
100,0.9164
