Epochs,Loss
1,2.0215
2,2.1197
3,2.2359
4,2.1239
5,2.1229
6,2.0116
7,1.8579
8,1.9644
9,2.014
10,1.8698
11,1.7209
12,1.9455
13,2.0111
14,2.0116
15,1.906
16,1.9783
17,1.9024
18,2.0178
19,1.8729
20,1.7592
21,1.7579
22,1.7334
23,1.621
24,1.6459
25,1.5875
26,1.565
27,1.9023
28,1.6481
29,1.6316
30,1.6812
31,1.945
32,1.6117
33,1.7966
34,1.7201
35,1.5744
36,1.8658
37,1.7555
38,1.8292
39,1.5351
40,1.3187
41,1.6406
42,1.6463
43,1.5738
44,1.6084
45,1.6822
46,1.5003
47,1.7553
48,1.3592
49,1.371
50,1.5405
51,1.6876
52,1.467
53,1.4588
54,1.2198
55,1.35
56,1.5077
57,1.5734
58,1.4369
59,1.2143
60,1.539
61,1.4238
62,1.3898
63,1.3206
64,1.5015
65,1.2476
66,1.5397
67,1.5731
68,1.4998
69,1.396
70,1.5731
71,1.4274
72,1.2813
73,1.2734
74,1.3839
75,1.1332
76,1.1028
77,0.9105
78,1.2094
79,1.2454
80,1.2016
81,1.2449
82,1.1738
83,1.281
84,1.389
85,1.1397
86,1.245
87,1.0981
88,1.2812
89,1.4637
90,1.2445
91,0.9519
92,1.0621
93,1.0609
94,1.3911
95,1.2091
96,1.0248
97,1.2441
98,1.1717
99,1.1348
100,0.9508
