Epochs,Loss
1,1.9318
2,1.4214
3,1.108
4,1.0319
5,0.7074
6,0.7087
7,0.6699
8,0.6311
9,0.5678
10,0.4009
11,0.3787
12,0.5257
13,0.2423
14,0.2202
15,0.3177
16,0.4879
17,0.3936
18,0.3557
19,0.3939
20,0.303
21,0.2393
22,0.2403
23,0.2535
24,0.2336
25,0.2142
26,0.2462
27,0.3129
28,0.2544
29,0.2631
30,0.2714
31,0.2217
32,0.1632
33,0.3664
34,0.1435
35,0.2141
36,0.2111
37,0.4505
38,0.1738
39,0.0918
40,0.0665
41,0.1494
42,0.1985
43,0.079
44,0.1818
45,0.2704
46,0.198
47,0.0983
48,0.2142
49,0.2461
50,0.1305
51,0.1788
52,0.1091
53,0.1905
54,0.1362
55,0.2051
56,0.1694
57,0.0845
58,0.1592
59,0.0967
60,0.1024
61,0.1627
62,0.0622
63,0.1493
64,0.0942
65,0.1807
66,0.0847
67,0.0467
68,0.1401
69,0.0872
70,0.0563
71,0.1085
72,0.0539
73,0.1063
74,0.156
75,0.0822
76,0.0859
77,0.1558
78,0.0744
79,0.0408
80,0.0935
81,0.0444
82,0.0384
83,0.0579
84,0.0681
85,0.0799
86,0.0671
87,0.146
88,0.0486
89,0.2142
90,0.0412
91,0.0637
92,0.0586
93,0.0488
94,0.0808
95,0.0828
96,0.0682
97,0.0588
98,0.0999
99,0.0306
100,0.0601
