Epochs,Loss
1,0.945
2,0.4286
3,0.1772
4,0.1555
5,0.2412
6,0.3192
7,0.1934
8,0.077
9,0.1149
10,0.1439
11,0.101
12,0.0723
13,0.1057
14,0.0775
15,0.0495
16,0.0176
17,0.0122
18,0.0491
19,0.0164
20,0.0304
21,0.0148
22,0.007
23,0.0191
24,0.0216
25,0.0198
26,0.0131
27,0.0234
28,0.0181
29,0.017
30,0.0086
31,0.0107
32,0.0175
33,0.0073
34,0.0577
35,0.0095
36,0.0525
37,0.0062
38,0.0087
39,0.0052
40,0.0088
41,0.0048
42,0.0135
43,0.0068
44,0.0073
45,0.0089
46,0.0072
47,0.0058
48,0.0406
49,0.0089
50,0.0136
51,0.0044
52,0.0071
53,0.0044
54,0.0428
55,0.004
56,0.0072
57,0.0009
58,0.0027
59,0.0029
60,0.0037
61,0.0031
62,0.0054
63,0.0423
64,0.0031
65,0.0028
66,0.0039
67,0.0029
68,0.0025
69,0.0024
70,0.0048
71,0.0038
72,0.0036
73,0.0023
74,0.0022
75,0.0404
76,0.0018
77,0.003
78,0.0039
79,0.0024
80,0.0398
81,0.0041
82,0.0019
83,0.0023
84,0.0023
85,0.0018
86,0.0039
87,0.0048
88,0.0025
89,0.0022
90,0.0033
91,0.0036
92,0.0015
93,0.0018
94,0.0032
95,0.0021
96,0.0023
97,0.039
98,0.0385
99,0.0014
100,0.0022
