Epochs,Loss
1,0.5706
2,0.133
3,0.1853
4,0.1423
5,0.1075
6,0.044
7,0.0883
8,0.1875
9,0.0705
10,0.0206
11,0.0344
12,0.0418
13,0.0463
14,0.0293
15,0.0133
16,0.0106
17,0.0264
18,0.0221
19,0.0269
20,0.0159
21,0.0093
22,0.0188
23,0.0144
24,0.0156
25,0.011
26,0.0107
27,0.0085
28,0.0065
29,0.0055
30,0.0098
31,0.0072
32,0.0095
33,0.0069
34,0.0063
35,0.0066
36,0.0065
37,0.007
38,0.0043
39,0.0045
40,0.0046
41,0.0055
42,0.0038
43,0.004
44,0.0038
45,0.0063
46,0.0055
47,0.0065
48,0.0054
49,0.0032
50,0.0011
51,0.0043
52,0.0408
53,0.0024
54,0.0035
55,0.0031
56,0.0029
57,0.0031
58,0.0025
59,0.0041
60,0.0019
61,0.004
62,0.0037
63,0.0044
64,0.0025
65,0.0041
66,0.003
67,0.0024
68,0.0031
69,0.0019
70,0.0033
71,0.0021
72,0.0021
73,0.0032
74,0.0025
75,0.0022
76,0.002
77,0.0016
78,0.0021
79,0.0013
80,0.002
81,0.0023
82,0.0023
83,0.0014
84,0.0412
85,0.0016
86,0.0022
87,0.0031
88,0.0006
89,0.0018
90,0.0032
91,0.0019
92,0.0017
93,0.0385
94,0.0021
95,0.0013
96,0.0019
97,0.0015
98,0.0022
99,0.0006
100,0.0011
