Epochs,Loss
1,2.7614
2,2.3713
3,2.0162
4,2.1674
5,1.8556
6,1.8302
7,1.9578
8,1.5942
9,1.8299
10,1.7615
11,1.773
12,1.5662
13,1.5643
14,1.5875
15,1.523
16,1.4722
17,1.4174
18,1.1249
19,1.3733
20,1.4055
21,1.4204
22,1.7354
23,1.2714
24,1.175
25,1.2546
26,1.3912
27,1.3437
28,1.2203
29,1.2411
30,1.3958
31,0.9035
32,1.2064
33,1.5472
34,1.3752
35,1.2838
36,0.9993
37,1.1846
38,1.2427
39,1.0987
40,1.0964
41,1.1854
42,1.0512
43,1.0974
44,1.0272
45,0.9977
46,0.9994
47,0.9718
48,1.1469
49,1.2922
50,0.869
51,1.1897
52,0.7272
53,1.1666
54,0.988
55,1.035
56,0.9507
57,1.0079
58,1.0706
59,0.9404
60,1.0053
61,1.001
62,1.0674
63,1.0552
64,1.281
65,0.9504
66,1.1881
67,1.1438
68,0.9902
69,1.1233
70,1.103
71,0.8899
72,0.8659
73,0.8639
74,0.7257
75,0.7779
76,0.8156
77,0.9532
78,0.9626
79,1.2084
80,0.6159
81,0.7607
82,1.0256
83,0.8583
84,0.912
85,0.7066
86,0.7829
87,1.0657
88,0.8013
89,0.9746
90,0.7786
91,0.7944
92,0.7997
93,0.72
94,0.8202
95,0.7409
96,0.7619
97,0.6185
98,0.6566
99,0.6941
100,0.8019
