Epochs,Loss
1,1.7197
2,1.5155
3,1.3716
4,1.1821
5,1.2934
6,1.2088
7,0.7692
8,0.7814
9,0.7617
10,0.4871
11,0.6148
12,0.4819
13,0.3107
14,0.3137
15,0.5336
16,0.2728
17,0.1882
18,0.3149
19,0.1931
20,0.2172
21,0.2124
22,0.2024
23,0.1394
24,0.2068
25,0.2779
26,0.1413
27,0.0745
28,0.1787
29,0.0846
30,0.2517
31,0.1991
32,0.1214
33,0.2267
34,0.2397
35,0.1246
36,0.1064
37,0.111
38,0.1081
39,0.073
40,0.2665
41,0.2025
42,0.1361
43,0.0895
44,0.0517
45,0.1294
46,0.1684
47,0.1234
48,0.0921
49,0.1227
50,0.0643
51,0.0965
52,0.0536
53,0.1029
54,0.0676
55,0.0688
56,0.1058
57,0.1386
58,0.0814
59,0.1579
60,0.1281
61,0.0619
62,0.0716
63,0.0478
64,0.0541
65,0.0854
66,0.043
67,0.0702
68,0.0358
69,0.0238
70,0.1076
71,0.039
72,0.063
73,0.0293
74,0.0707
75,0.2257
76,0.0419
77,0.0515
78,0.0379
79,0.0661
80,0.0522
81,0.0367
82,0.1582
83,0.0468
84,0.1194
85,0.0845
86,0.0534
87,0.1
88,0.015
89,0.0382
90,0.06
91,0.029
92,0.0814
93,0.068
94,0.0572
95,0.0399
96,0.0375
97,0.0194
98,0.0278
99,0.0201
100,0.0125
