Learning Rate,Activation Function,Loss,Duration,Train Accuracy,Test Accuracy
0.01,ReLU,2.1933,147.69,15.25190648831104,13.5
0.01,Sigmoid,2.3738,170.05,10.063757969746218,8.75
0.01,LeakyReLu-0.01,4.4478,165.23,95.07438429803726,90.8
0.01,LeakyReLu-0.05,161.9735,132.93,99.06238279784974,94.8
0.01,LeakyReLu-0.1,6095.3242,129.49,89.18614826853357,87.15
0.01,LeakyReLu-0.5,2441.2678,143.88,97.81222652831605,92.6
0.01,PreLU,2.2952,162.55,11.751468933616701,12.65
0.01,ELU-0.1,2.3026,228.51,10.063757969746218,8.75
0.01,ELU-0.02,2.3026,361.19,10.063757969746218,8.75
0.01,ELU-0.03,2.3026,194.47,10.063757969746218,8.75
0.001,ReLU,2.3026,163.12,10.063757969746218,8.75
0.001,Sigmoid,1.4732,154.75,95.88698587323415,93.35
0.001,LeakyReLu-0.01,0.0,279.88,100.0,96.2
0.001,LeakyReLu-0.05,0.0,189.29,100.0,96.95
0.001,LeakyReLu-0.1,0.0,206.05,100.0,97.2
0.001,LeakyReLu-0.5,0.0,201.05,99.49993749218652,94.5
0.001,PreLU,0.0,139.63,100.0,96.8
0.001,ELU-0.1,0.0,267.62,99.84998124765596,96.55
0.001,ELU-0.02,2.3026,432.46,10.063757969746218,8.75
0.001,ELU-0.03,2.3026,373.75,10.076259532441556,8.75
0.0001,ReLU,0.477,124.06,78.33479184898113,77.9
0.0001,Sigmoid,1.4613,161.48,99.69996249531191,94.6
0.0001,LeakyReLu-0.01,0.0,120.81,100.0,96.7
0.0001,LeakyReLu-0.05,0.0,128.12,100.0,96.2
0.0001,LeakyReLu-0.1,0.0,136.58,100.0,96.9
0.0001,LeakyReLu-0.5,0.0,144.27,100.0,96.15
0.0001,PreLU,0.0,150.9,100.0,96.55
0.0001,ELU-0.1,0.0,173.88,100.0,96.65
0.0001,ELU-0.02,0.0,185.31,100.0,96.45
0.0001,ELU-0.03,0.0,165.94,99.98749843730467,96.5
1e-05,ReLU,0.1097,132.35,90.28628578572321,85.65
1e-05,Sigmoid,1.5864,161.92,88.87360920115015,83.8
1e-05,LeakyReLu-0.01,0.0,130.11,100.0,95.9
1e-05,LeakyReLu-0.05,0.0,138.39,100.0,95.8
1e-05,LeakyReLu-0.1,0.0,139.8,100.0,95.8
1e-05,LeakyReLu-0.5,0.0001,138.15,100.0,94.8
1e-05,PreLU,0.0002,151.49,100.0,95.7
1e-05,ELU-0.1,0.0,178.5,100.0,95.7
1e-05,ELU-0.02,0.0,168.62,100.0,95.6
1e-05,ELU-0.03,0.0,201.7,100.0,96.05
