Learning Rate,Activation Function,Loss,Duration,Train Accuracy,Test Accuracy
0.01,ReLU,2.3026,61.22,9.876234529316164,9.5
0.01,Sigmoid,1.5718,90.89,91.66145768221028,87.9
0.01,LeakyReLu-0.01,,63.63,9.876234529316164,9.5
0.01,LeakyReLu-0.05,,65.12,9.876234529316164,9.5
0.01,LeakyReLu-0.1,,65.26,9.876234529316164,9.5
0.01,LeakyReLu-0.5,,68.91,9.876234529316164,9.5
0.01,PreLU,,73.72,9.876234529316164,9.5
0.01,ELU-0.1,2.3026,147.28,10.801350168771096,9.85
0.01,ELU-0.02,2.3026,137.23,10.701337667208401,9.65
0.01,ELU-0.03,1.0235,104.3,53.6067008376047,51.7
0.001,ReLU,1.5718,66.16,48.79359919989999,48.7
0.001,Sigmoid,2.2079,86.62,67.72096512064007,64.95
0.001,LeakyReLu-0.01,0.0006,66.03,99.61245155644455,94.6
0.001,LeakyReLu-0.05,0.0003,65.95,99.97499687460933,94.2
0.001,LeakyReLu-0.1,0.0008,66.35,100.0,95.05
0.001,LeakyReLu-0.5,0.0007,65.93,100.0,93.95
0.001,PreLU,,70.59,9.876234529316164,9.5
0.001,ELU-0.1,1.0971,93.86,59.15739467433429,58.75
0.001,ELU-0.02,1.3535,92.25,49.45618202275284,50.25
0.001,ELU-0.03,0.9508,91.75,49.5436929616202,49.85
0.0001,ReLU,0.2283,65.29,96.44955619452432,90.7
0.0001,Sigmoid,2.3001,87.12,11.288911113889236,11.6
0.0001,LeakyReLu-0.01,0.022,66.39,98.36229528691086,93.15
0.0001,LeakyReLu-0.05,0.0094,65.95,97.91223902987873,91.95
0.0001,LeakyReLu-0.1,0.0593,65.7,98.46230778847355,92.8
0.0001,LeakyReLu-0.5,0.0202,65.32,99.6624578072259,91.8
0.0001,PreLU,,70.8,9.876234529316164,9.5
0.0001,ELU-0.1,0.4897,88.27,78.19727465933242,74.65
0.0001,ELU-0.02,0.5997,87.58,87.06088261032629,81.5
0.0001,ELU-0.03,0.0463,89.14,98.53731716464559,92.1
1e-05,ReLU,1.5968,65.68,47.943492936617076,45.25
1e-05,Sigmoid,2.2996,85.95,8.626078259782473,9.95
1e-05,LeakyReLu-0.01,0.5697,66.19,78.54731841480185,76.25
1e-05,LeakyReLu-0.05,0.406,65.76,88.97362170271283,86.1
1e-05,LeakyReLu-0.1,0.343,66.64,89.49868733591698,87.4
1e-05,LeakyReLu-0.5,0.332,66.39,90.66133266658332,88.15
1e-05,PreLU,,72.7,9.876234529316164,9.5
1e-05,ELU-0.1,0.9372,85.77,67.68346043255407,67.2
1e-05,ELU-0.02,1.2794,87.63,48.831103887985996,49.35
1e-05,ELU-0.03,0.6454,85.48,80.02250281285161,77.45
