Learning Rate,Activation Function,Loss,Duration,Train Accuracy,Test Accuracy
0.01,ReLU,1.4255,31.25,47.76847105888236,47.35
0.01,Sigmoid,2.2826,41.12,11.351418927365922,11.35
0.01,LeakyReLu-0.01,0.0002,35.35,99.96249531191398,96.5
0.01,LeakyReLu-0.05,,33.74,9.77622202775347,9.9
0.01,LeakyReLu-0.1,,33.66,9.77622202775347,9.9
0.01,LeakyReLu-0.5,,34.7,9.77622202775347,9.9
0.01,PreLU,,39.94,9.77622202775347,9.9
0.01,ELU-0.1,2.3026,118.33,9.876234529316164,10.05
0.01,ELU-0.02,0.6946,66.48,70.19627453431679,68.1
0.01,ELU-0.03,0.7312,62.75,70.68383547943493,67.05
0.001,ReLU,0.8427,41.43,78.50981372671583,75.8
0.001,Sigmoid,2.293,54.84,11.351418927365922,11.35
0.001,LeakyReLu-0.01,0.006,41.97,99.82497812226528,95.65
0.001,LeakyReLu-0.05,0.0059,43.77,99.8999874984373,95.15
0.001,LeakyReLu-0.1,0.0051,40.12,99.92499062382798,95.25
0.001,LeakyReLu-0.5,0.0031,42.12,100.0,95.35
0.001,PreLU,,46.36,9.77622202775347,9.9
0.001,ELU-0.1,0.1864,54.57,89.78622327790974,85.7
0.001,ELU-0.02,0.0039,54.09,99.92499062382798,95.35
0.001,ELU-0.03,0.0056,52.48,99.96249531191398,95.3
0.0001,ReLU,0.3062,42.01,95.87448431053882,92.3
0.0001,Sigmoid,2.2954,56.84,10.251281410176272,9.5
0.0001,LeakyReLu-0.01,0.1068,43.45,97.57469683710464,93.2
0.0001,LeakyReLu-0.05,0.0601,41.16,97.74971871483936,93.3
0.0001,LeakyReLu-0.1,0.1928,50.35,97.78722340292536,92.95
0.0001,LeakyReLu-0.5,0.1497,57.38,96.38704838104763,93.25
0.0001,PreLU,,59.06,9.77622202775347,9.9
0.0001,ELU-0.1,0.2055,71.16,88.21102637829729,83.85
0.0001,ELU-0.02,0.0825,70.3,97.4621827728466,92.85
0.0001,ELU-0.03,0.0776,63.59,97.48718589823729,93.65
1e-05,ReLU,1.1795,46.71,59.55744468058507,61.7
1e-05,Sigmoid,2.2873,60.29,10.251281410176272,9.5
1e-05,LeakyReLu-0.01,1.8324,40.59,43.46793349168646,43.45
1e-05,LeakyReLu-0.05,0.7375,49.95,75.64695586948369,75.55
1e-05,LeakyReLu-0.1,0.4543,50.2,84.01050131266409,83.85
1e-05,LeakyReLu-0.5,0.2746,43.78,85.84823102887862,85.75
1e-05,PreLU,,54.79,9.77622202775347,9.9
1e-05,ELU-0.1,0.6277,55.94,76.93461682710338,75.85
1e-05,ELU-0.02,1.3544,59.89,60.03250406300788,59.45
1e-05,ELU-0.03,1.2618,57.27,56.094511813976744,54.45
