Learning Rate,Activation Function,Loss,Duration,Train Accuracy,Test Accuracy
0.01,ReLU,2.3026,111.17,10.126265783222903,8.5
0.01,Sigmoid,1.517,184.31,88.4860607575947,83.85
0.01,LeakyReLu-0.01,,138.41,10.126265783222903,8.5
0.01,LeakyReLu-0.05,,140.1,10.126265783222903,8.5
0.01,LeakyReLu-0.1,,128.15,10.126265783222903,8.5
0.01,LeakyReLu-0.5,,127.21,10.126265783222903,8.5
0.01,PreLU,,157.42,10.126265783222903,8.5
0.01,ELU-0.1,2.3026,366.76,10.413801725215652,8.85
0.01,ELU-0.02,2.3026,385.67,10.176272034004251,8.55
0.01,ELU-0.03,2.3026,420.47,10.238779847480934,8.45
0.001,ReLU,1.4255,134.53,47.23090386298287,46.75
0.001,Sigmoid,1.9996,184.86,76.54706838354794,74.25
0.001,LeakyReLu-0.01,0.0394,147.07,99.8999874984373,94.5
0.001,LeakyReLu-0.05,0.0003,138.62,100.0,94.55
0.001,LeakyReLu-0.1,0.0003,148.14,100.0,94.05
0.001,LeakyReLu-0.5,0.0006,143.85,100.0,94.0
0.001,PreLU,,153.1,10.126265783222903,8.5
0.001,ELU-0.1,1.0605,185.91,50.40630078759845,47.8
0.001,ELU-0.02,1.317,178.61,42.205275659457435,43.65
0.001,ELU-0.03,0.5123,178.52,78.27228403550444,74.45
0.0001,ReLU,0.7697,125.99,66.99587448431053,63.9
0.0001,Sigmoid,2.2796,164.94,12.00150018752344,12.15
0.0001,LeakyReLu-0.01,0.0407,126.42,98.46230778847355,93.25
0.0001,LeakyReLu-0.05,0.0519,126.39,99.17489686210776,93.15
0.0001,LeakyReLu-0.1,0.0065,126.36,99.57494686835855,94.25
0.0001,LeakyReLu-0.5,0.0045,125.46,100.0,92.7
0.0001,PreLU,,134.54,10.126265783222903,8.5
0.0001,ELU-0.1,1.2918,171.8,58.969871233904236,58.25
0.0001,ELU-0.02,0.6622,173.35,78.19727465933242,73.5
0.0001,ELU-0.03,0.0048,171.04,99.33741717714715,92.7
1e-05,ReLU,1.3675,124.8,45.268158519814975,43.65
1e-05,Sigmoid,2.3154,166.12,9.738717339667458,10.15
1e-05,LeakyReLu-0.01,0.2699,127.0,92.8241030128766,88.6
1e-05,LeakyReLu-0.05,0.1741,126.67,93.99924990623828,88.9
1e-05,LeakyReLu-0.1,0.1936,121.3,93.6992124015502,89.8
1e-05,LeakyReLu-0.5,0.166,122.37,93.41167645955744,90.4
1e-05,PreLU,,129.19,10.126265783222903,8.5
1e-05,ELU-0.1,0.8908,157.91,78.64733091636455,77.15
1e-05,ELU-0.02,1.0522,155.47,69.78372296537067,68.25
1e-05,ELU-0.03,0.1081,161.35,95.4619327415927,90.45
