Learning Rate,Activation Function,Loss,Duration,Train Accuracy,Test Accuracy
0.01,ReLU,0.6214,52.76,79.8849856232029,75.9
0.01,Sigmoid,2.19,64.84,51.86898362295287,50.0
0.01,LeakyReLu-0.01,0.0001,52.15,99.92499062382798,95.0
0.01,LeakyReLu-0.05,0.0001,52.09,100.0,95.0
0.01,LeakyReLu-0.1,0.0001,66.2,100.0,94.9
0.01,LeakyReLu-0.5,,59.88,9.838729841230153,9.65
0.01,PreLU,,60.17,9.838729841230153,9.65
0.01,ELU-0.1,0.4752,87.28,80.63507938492312,76.55
0.01,ELU-0.02,2.3026,103.23,11.976497062132767,11.1
0.01,ELU-0.03,0.4752,96.23,79.93499187398425,76.7
0.001,ReLU,0.5129,56.02,77.90973871733966,74.9
0.001,Sigmoid,2.2919,66.98,11.56394549318665,10.5
0.001,LeakyReLu-0.01,0.0022,56.83,99.83747968496063,94.65
0.001,LeakyReLu-0.05,0.0012,58.73,99.92499062382798,94.2
0.001,LeakyReLu-0.1,0.0038,57.4,99.93749218652331,94.2
0.001,LeakyReLu-0.5,0.0021,58.17,100.0,93.45
0.001,PreLU,,64.72,9.838729841230153,9.65
0.001,ELU-0.1,0.0012,77.82,99.96249531191398,94.55
0.001,ELU-0.02,0.0013,76.07,99.92499062382798,94.25
0.001,ELU-0.03,0.0016,80.79,99.96249531191398,94.85
0.0001,ReLU,0.44,64.87,88.23602950368796,83.75
0.0001,Sigmoid,2.3026,72.95,10.388798599824979,10.1
0.0001,LeakyReLu-0.01,0.0611,60.07,98.72484060507564,91.9
0.0001,LeakyReLu-0.05,0.0335,59.51,98.849856232029,93.25
0.0001,LeakyReLu-0.1,0.1076,55.69,98.48731091386423,92.4
0.0001,LeakyReLu-0.5,0.0739,54.37,97.23715464433054,92.05
0.0001,PreLU,,60.89,9.838729841230153,9.65
0.0001,ELU-0.1,0.0729,76.62,98.29978747343418,92.45
0.0001,ELU-0.02,0.0317,73.15,98.812351543943,92.65
0.0001,ELU-0.03,0.0601,77.48,98.86235779472435,93.1
1e-05,ReLU,1.1808,55.5,67.58344793099137,66.2
1e-05,Sigmoid,2.3053,71.03,9.476184523065383,10.8
1e-05,LeakyReLu-0.01,0.3992,60.97,87.12339042380297,85.75
1e-05,LeakyReLu-0.05,0.7023,58.59,87.51093886735842,84.9
1e-05,LeakyReLu-0.1,0.4601,61.71,87.51093886735842,84.65
1e-05,LeakyReLu-0.5,0.5244,59.13,88.0485060632579,86.65
1e-05,PreLU,,61.5,9.838729841230153,9.65
1e-05,ELU-0.1,1.2134,73.09,60.08251031378922,58.65
1e-05,ELU-0.02,0.7655,74.95,80.71008876109514,77.5
1e-05,ELU-0.03,1.0522,78.39,74.79684960620078,72.25
